,Gender,Your partner had to be good looking,Your partner has a sense of humor,"Your partner have/make a decent amount of money ""Abo Hashema Style""",Your partner has to be intelligent,Your partner has a personality that I like,Your partner has similarities in interests to mine,Percentage good looking,Percentage sense of humor,Percentage money,Percentage intelligent,Percentage personality,Percentage interests
0,Women,3.0,6.0,4.0,5.0,4.0,3.0,0.13,0.39,0.45,0.32,0.24,0.05
1,Women,4.0,6.0,4.0,4.0,6.0,5.0,0.47,0.39,0.45,0.34,0.45,0.39
2,Women,5.0,6.0,1.0,6.0,6.0,4.0,0.26,0.39,0.05,0.29,0.45,0.37
3,Women,6.0,5.0,6.0,5.0,6.0,5.0,0.11,0.42,0.08,0.32,0.45,0.39
4,Women,4.0,5.0,3.0,5.0,6.0,4.0,0.47,0.42,0.18,0.32,0.45,0.37
5,Men,4.0,6.0,4.0,5.0,2.0,6.0,0.24,0.37,0.26,0.29,0.03,0.34
6,Women,4.0,5.0,2.0,5.0,5.0,6.0,0.47,0.42,0.13,0.32,0.26,0.18
7,Women,3.0,6.0,2.0,3.0,5.0,4.0,0.13,0.39,0.13,0.05,0.26,0.37
8,Women,4.0,5.0,3.0,6.0,6.0,4.0,0.47,0.42,0.18,0.29,0.45,0.37
9,Women,5.0,4.0,4.0,6.0,6.0,4.0,0.26,0.11,0.45,0.29,0.45,0.37
10,Women,6.0,1.0,1.0,6.0,6.0,4.0,0.11,0.03,0.05,0.29,0.45,0.37
11,Women,5.0,5.0,4.0,6.0,6.0,5.0,0.26,0.42,0.45,0.29,0.45,0.39
12,Women,4.0,6.0,3.0,4.0,4.0,5.0,0.47,0.39,0.18,0.34,0.24,0.39
13,Men,4.0,5.0,3.0,6.0,6.0,4.0,0.24,0.45,0.34,0.37,0.37,0.26
14,Men,6.0,5.0,1.0,6.0,6.0,6.0,0.24,0.45,0.11,0.37,0.37,0.34
15,Men,6.0,2.0,6.0,2.0,5.0,4.0,0.24,0.03,0.13,0.13,0.34,0.26
16,Men,2.0,6.0,2.0,3.0,5.0,2.0,0.05,0.37,0.11,0.08,0.34,0.05
17,Men,5.0,6.0,5.0,4.0,6.0,4.0,0.34,0.37,0.05,0.13,0.37,0.26
18,Men,5.0,5.0,3.0,4.0,3.0,3.0,0.34,0.45,0.34,0.13,0.11,0.08
19,Men,5.0,4.0,2.0,4.0,4.0,4.0,0.34,0.11,0.11,0.13,0.11,0.26
20,Men,4.0,4.0,4.0,5.0,5.0,5.0,0.24,0.11,0.26,0.29,0.34,0.21
21,Men,5.0,6.0,4.0,6.0,1.0,1.0,0.34,0.37,0.26,0.37,0.05,0.05
22,Men,3.0,5.0,1.0,6.0,5.0,5.0,0.11,0.45,0.11,0.37,0.34,0.21
23,Men,5.0,6.0,3.0,6.0,5.0,6.0,0.34,0.37,0.34,0.37,0.34,0.34
24,Men,4.0,5.0,4.0,6.0,4.0,6.0,0.24,0.45,0.26,0.37,0.11,0.34
25,Men,5.0,6.0,3.0,6.0,6.0,5.0,0.34,0.37,0.34,0.37,0.37,0.21
26,Women,4.0,5.0,4.0,4.0,4.0,4.0,0.47,0.42,0.45,0.34,0.24,0.37
27,Women,3.0,5.0,2.0,4.0,4.0,6.0,0.13,0.42,0.13,0.34,0.24,0.18
28,Men,5.0,6.0,4.0,6.0,6.0,4.0,0.34,0.37,0.26,0.37,0.37,0.26
29,Men,5.0,5.0,3.0,5.0,6.0,1.0,0.34,0.45,0.34,0.29,0.37,0.05
30,Men,6.0,6.0,6.0,6.0,6.0,6.0,0.24,0.37,0.13,0.37,0.37,0.34
31,Men,6.0,4.0,1.0,5.0,6.0,6.0,0.24,0.11,0.11,0.29,0.37,0.34
32,Women,4.0,5.0,4.0,4.0,6.0,5.0,0.47,0.42,0.45,0.34,0.45,0.39
33,Men,4.0,5.0,5.0,3.0,3.0,2.0,0.24,0.45,0.05,0.08,0.11,0.05
34,Women,5.0,6.0,3.0,4.0,6.0,5.0,0.26,0.39,0.18,0.34,0.45,0.39
35,Women,4.0,5.0,4.0,6.0,5.0,4.0,0.47,0.42,0.45,0.29,0.26,0.37
36,Women,4.0,4.0,4.0,4.0,4.0,4.0,0.47,0.11,0.45,0.34,0.24,0.37
37,Women,4.0,4.0,4.0,4.0,4.0,4.0,0.47,0.11,0.45,0.34,0.24,0.37
38,Men,4.0,5.0,3.0,5.0,6.0,3.0,0.24,0.45,0.34,0.29,0.37,0.08
39,Men,3.0,5.0,3.0,6.0,5.0,4.0,0.11,0.45,0.34,0.37,0.34,0.26
40,Women,1.0,5.0,2.0,4.0,2.0,6.0,0.03,0.42,0.13,0.34,0.03,0.18
41,Men,2.0,3.0,4.0,3.0,4.0,3.0,0.05,0.03,0.26,0.08,0.11,0.08
42,Men,6.0,6.0,6.0,6.0,6.0,6.0,0.24,0.37,0.13,0.37,0.37,0.34
43,Women,4.0,5.0,4.0,5.0,5.0,6.0,0.47,0.42,0.45,0.32,0.26,0.18
44,Women,5.0,3.0,5.0,4.0,6.0,5.0,0.26,0.05,0.11,0.34,0.45,0.39
45,Women,4.0,6.0,4.0,4.0,4.0,5.0,0.47,0.39,0.45,0.34,0.24,0.39
46,Women,4.0,6.0,4.0,4.0,6.0,5.0,0.47,0.39,0.45,0.34,0.45,0.39
47,Women,4.0,5.0,3.0,3.0,4.0,5.0,0.47,0.42,0.18,0.05,0.24,0.39
48,Men,3.0,6.0,2.0,6.0,6.0,6.0,0.11,0.37,0.11,0.37,0.37,0.34
49,Women,4.0,6.0,5.0,6.0,5.0,6.0,0.47,0.39,0.11,0.29,0.26,0.18
50,Women,5.0,6.0,5.0,6.0,5.0,5.0,0.26,0.39,0.11,0.29,0.26,0.39
51,Women,5.0,6.0,4.0,6.0,6.0,5.0,0.26,0.39,0.45,0.29,0.45,0.39
52,Women,5.0,6.0,2.0,5.0,6.0,5.0,0.26,0.39,0.13,0.32,0.45,0.39
53,Women,4.0,5.0,3.0,5.0,5.0,4.0,0.47,0.42,0.18,0.32,0.26,0.37
54,Men,4.0,5.0,3.0,2.0,1.0,6.0,0.24,0.45,0.34,0.13,0.05,0.34
55,Women,6.0,5.0,4.0,5.0,5.0,4.0,0.11,0.42,0.45,0.32,0.26,0.37
56,Women,3.0,6.0,3.0,5.0,5.0,4.0,0.13,0.39,0.18,0.32,0.26,0.37
57,Men,5.0,5.0,3.0,5.0,5.0,6.0,0.34,0.45,0.34,0.29,0.34,0.34
