,Unweighted_Sample,Weighted_Sample,Q,Nationality,Gender,Rank,Rank (number),Percentage,iso_alpha,country,continent
0,454,530,They are good looking,American,Men,Ranked first,1,0.18,USA,United States,Americas
1,454,530,They are good looking,American,Men,Ranked second,2,0.13,USA,United States,Americas
2,454,530,They are good looking,American,Men,Ranked third,3,0.16,USA,United States,Americas
3,454,530,They are good looking,American,Men,Ranked fourth,4,0.19,USA,United States,Americas
4,454,530,They are good looking,American,Men,Ranked fifth,5,0.25,USA,United States,Americas
5,454,530,They are good looking,American,Men,Ranked sixth,6,0.09,USA,United States,Americas
6,454,530,They have a personality I like,American,Men,Ranked first,1,0.41,USA,United States,Americas
7,454,530,They have a personality I like,American,Men,Ranked second,2,0.24,USA,United States,Americas
8,454,530,They have a personality I like,American,Men,Ranked third,3,0.15,USA,United States,Americas
9,454,530,They have a personality I like,American,Men,Ranked fourth,4,0.08,USA,United States,Americas
10,454,530,They have a personality I like,American,Men,Ranked fifth,5,0.08,USA,United States,Americas
11,454,530,They have a personality I like,American,Men,Ranked sixth,6,0.05,USA,United States,Americas
12,454,530,They have a sense of humour,American,Men,Ranked first,1,0.09,USA,United States,Americas
13,454,530,They have a sense of humour,American,Men,Ranked second,2,0.23,USA,United States,Americas
14,454,530,They have a sense of humour,American,Men,Ranked third,3,0.25,USA,United States,Americas
15,454,530,They have a sense of humour,American,Men,Ranked fourth,4,0.26,USA,United States,Americas
16,454,530,They have a sense of humour,American,Men,Ranked fifth,5,0.13,USA,United States,Americas
17,454,530,They have a sense of humour,American,Men,Ranked sixth,6,0.05,USA,United States,Americas
18,454,530,They are intelligent,American,Men,Ranked first,1,0.13,USA,United States,Americas
19,454,530,They are intelligent,American,Men,Ranked second,2,0.18,USA,United States,Americas
20,454,530,They are intelligent,American,Men,Ranked third,3,0.22,USA,United States,Americas
21,454,530,They are intelligent,American,Men,Ranked fourth,4,0.22,USA,United States,Americas
22,454,530,They are intelligent,American,Men,Ranked fifth,5,0.2,USA,United States,Americas
23,454,530,They are intelligent,American,Men,Ranked sixth,6,0.04,USA,United States,Americas
24,454,530,They have a decent amount of money,American,Men,Ranked first,1,0.02,USA,United States,Americas
25,454,530,They have a decent amount of money,American,Men,Ranked second,2,0.04,USA,United States,Americas
26,454,530,They have a decent amount of money,American,Men,Ranked third,3,0.06,USA,United States,Americas
27,454,530,They have a decent amount of money,American,Men,Ranked fourth,4,0.06,USA,United States,Americas
28,454,530,They have a decent amount of money,American,Men,Ranked fifth,5,0.15,USA,United States,Americas
29,454,530,They have a decent amount of money,American,Men,Ranked sixth,6,0.68,USA,United States,Americas
30,454,530,They have similar interests to me,American,Men,Ranked first,1,0.17,USA,United States,Americas
31,454,530,They have similar interests to me,American,Men,Ranked second,2,0.18,USA,United States,Americas
32,454,530,They have similar interests to me,American,Men,Ranked third,3,0.16,USA,United States,Americas
33,454,530,They have similar interests to me,American,Men,Ranked fourth,4,0.19,USA,United States,Americas
34,454,530,They have similar interests to me,American,Men,Ranked fifth,5,0.21,USA,United States,Americas
35,454,530,They have similar interests to me,American,Men,Ranked sixth,6,0.09,USA,United States,Americas
36,634,543,They are good looking,American,Women,Ranked first,1,0.1,USA,United States,Americas
37,634,543,They are good looking,American,Women,Ranked second,2,0.07,USA,United States,Americas
38,634,543,They are good looking,American,Women,Ranked third,3,0.06,USA,United States,Americas
39,634,543,They are good looking,American,Women,Ranked fourth,4,0.13,USA,United States,Americas
40,634,543,They are good looking,American,Women,Ranked fifth,5,0.34,USA,United States,Americas
41,634,543,They are good looking,American,Women,Ranked sixth,6,0.29,USA,United States,Americas
42,634,543,They have a personality I like,American,Women,Ranked first,1,0.38,USA,United States,Americas
43,634,543,They have a personality I like,American,Women,Ranked second,2,0.26,USA,United States,Americas
44,634,543,They have a personality I like,American,Women,Ranked third,3,0.2,USA,United States,Americas
45,634,543,They have a personality I like,American,Women,Ranked fourth,4,0.09,USA,United States,Americas
46,634,543,They have a personality I like,American,Women,Ranked fifth,5,0.04,USA,United States,Americas
47,634,543,They have a personality I like,American,Women,Ranked sixth,6,0.03,USA,United States,Americas
48,634,543,They have a sense of humour,American,Women,Ranked first,1,0.13,USA,United States,Americas
49,634,543,They have a sense of humour,American,Women,Ranked second,2,0.27,USA,United States,Americas
50,634,543,They have a sense of humour,American,Women,Ranked third,3,0.24,USA,United States,Americas
51,634,543,They have a sense of humour,American,Women,Ranked fourth,4,0.18,USA,United States,Americas
52,634,543,They have a sense of humour,American,Women,Ranked fifth,5,0.11,USA,United States,Americas
53,634,543,They have a sense of humour,American,Women,Ranked sixth,6,0.07,USA,United States,Americas
54,634,543,They are intelligent,American,Women,Ranked first,1,0.15,USA,United States,Americas
55,634,543,They are intelligent,American,Women,Ranked second,2,0.19,USA,United States,Americas
